FID,cnuc,nome_uc,area_ha,acao,tipo,satelite,obs,juliano,data,ano,mes_nome,mes_num,categoria,local,area_uc,area_ent,bioma,gr_nome,ngi,cr,GlobalID,Shape__Are,Shape__Len,Shape__Area,Shape__Length,ct
358603,0000.00.0183,PARNA Grande Sertão Veredas,102.45876586863,queima prescrita,manejo,planet,Queima do dia 09/06,160,6/10/2025 12:00:00 AM,2025,jun,06,manejo,interior,102.45876586863,0,CERRADO,GR 4 - SUDESTE,-, ,,,,1105177.07958984,7658.21422116666, 
358604,0000.00.0076,ESEC Serra Geral do Tocantins,192.12120423927,incendio,incendio,planet, ,195,7/15/2025 12:00:00 AM,2025,jul,07,incendio,interior,192.12120423927,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,2006757.48828125,10154.6717397652, 
358605,0000.00.0272,PARNA da Chapada das Mesas,82.5830949038525,queima prescrita,manejo,planet,Queima do dia 03/06,154,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,82.5830949038525,0,CERRADO,GR 2 - NORDESTE,-, ,,,,844132.875,4088.90782265179,CT Fortaleza
358606,0000.00.0168,PARNA do Araguaia,206.729058848068,incendio,incendio,planet, ,315,11/14/2025 12:00:00 AM,2025,nov,11,incendio,interior,206.729058848068,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,2151686.60302734,13386.0647727332, 
358607,0000.00.0272,PARNA da Chapada das Mesas,133.797281504528,queima prescrita,manejo,planet,Queima do dia 22/06,173,7/15/2025 12:00:00 AM,2025,jul,07,manejo,interior,133.797281504528,0,CERRADO,GR 2 - NORDESTE,-, ,,,,1368148.62329102,5358.33839300365,CT Fortaleza
358608,0000.00.0010,APA da Região Serrana de Petrópolis,4.91036916504659,incendio,incendio,planet, ,362,12/31/2025 12:00:00 AM,2025,dez,12,incendio,interior,4.91036916504659,0,MATA ATLÂNTICA,GR 4 - SUDESTE,-, ,,,,57813.162109375,1575.69726114804, 
358609,0000.00.0010,APA da Região Serrana de Petrópolis,9.58035205664958,incendio,incendio,planet, ,261,12/30/2025 12:00:00 AM,2025,dez,12,incendio,interior,9.58035205664958,0,MATA ATLÂNTICA,GR 4 - SUDESTE,-, ,,,,112796.732421875,1932.18948743686, 
358610,0000.00.0076,ESEC Serra Geral do Tocantins,742.561351057464,incendio,incendio,planet, ,194,7/15/2025 12:00:00 AM,2025,jul,07,incendio,interior,742.561351057464,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,7755441.64160156,18789.6418970991, 
358611,0000.00.0076,ESEC Serra Geral do Tocantins,1978.29392600395,incendio,incendio,planet, ,185,7/15/2025 12:00:00 AM,2025,jul,07,incendio,interior,1978.29392600395,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,20672149.2163086,31181.2130057356, 
358612,0000.00.0065,ESEC de Uruçuí-Una,103.659220683748,queima prescrita,manejo,planet,Queima do dia 23/05,143,5/26/2025 12:00:00 AM,2025,mai,05,manejo,interior,103.659220683748,0,CERRADO,GR 2 - NORDESTE,-, ,,,,1068913.14892578,6128.97268097848,CT Fortaleza
