FID,cnuc,nome_uc,area_ha,acao,tipo,satelite,obs,juliano,data,ano,mes_nome,mes_num,categoria,local,area_uc,area_ent,bioma,gr_nome,ngi,cr,GlobalID,Shape__Are,Shape__Len,Shape__Area,Shape__Length,ct
358498,0000.00.0023,APA do Planalto Central,16.1164999761612,incendio,incendio,planet, ,162,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,16.1164999761612,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,174340.671875,2115.15452823718, 
358499,0000.00.0163,PARNA de Pacaás Novos,10.2303096107908,incendio,incendio,planet, ,163,6/14/2025 12:00:00 AM,2025,jun,06,incendio,interior,10.2303096107908,0,AMAZÔNIA,GR 1 - NORTE,-, ,,,,106591.646972656,2192.9589245015,CT Porto Velho
358500,0000.00.0076,ESEC Serra Geral do Tocantins,72.985171845601,queima prescrita,manejo,planet,Queima do dia 28/04,119,5/21/2025 12:00:00 AM,2025,mai,05,manejo,interior,72.985171845601,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,762274.627929688,9172.55347630673, 
358501,0000.00.0023,APA do Planalto Central,144.322393734508,incendio,incendio,planet, ,162,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,144.322393734508,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,1561222.96972656,16504.3416285867, 
358502,0000.00.0023,APA do Planalto Central,0.655111772672795,incendio,incendio,planet, ,162,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,0.655111772672795,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,7087.4453125,368.927094067809, 
358503,0000.00.0157,PARNA das Sempre-Vivas,42.8305609127504,incendio,incendio,planet, ,160,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,42.8305609127504,0,CERRADO,GR 4 - SUDESTE,-, ,,,,475249.467773438,5999.62697140028, 
358504,0000.00.0157,PARNA das Sempre-Vivas,7.51063522086272,incendio,incendio,planet, ,158,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,7.51063522086272,0,CERRADO,GR 4 - SUDESTE,-, ,,,,83315.3564453125,1481.46221742261, 
358505,0000.00.0157,PARNA das Sempre-Vivas,3.14902474524435,incendio,incendio,planet, ,163,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,3.14902474524435,0,CERRADO,GR 4 - SUDESTE,-, ,,,,34942.1181640625,930.304929508144, 
358506,0000.00.0157,PARNA das Sempre-Vivas,39.215812587697,incendio,incendio,planet, ,163,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,39.215812587697,0,CERRADO,GR 4 - SUDESTE,-, ,,,,435114.318359375,5009.48757166062, 
358507,0000.00.0157,PARNA das Sempre-Vivas,14.3611398195451,incendio,incendio,planet, ,165,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,14.3611398195451,0,CERRADO,GR 4 - SUDESTE,-, ,,,,159330.776367188,1582.97635076017, 
