system:index,B11,B12,B2,B3,B4,B8,burned,dnbr,nbr,ndmi,ndvi,ndwi,.geo
2_301,2235.0,1261.75,316.0,507.55555555555554,539.0,2067.0,0,0.090045795,0.23524795,-0.038010325,0.28842106,-0.60332316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.30236333706061,-13.937855706520642]}"
2_302,2132.0,1633.0,491.0,674.0,799.0,1874.0,0,-0.27864483,0.06602709,-0.07741148,0.17896865,-0.45964032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.68639312102171,-14.127040905356214]}"
2_303,1769.5,849.5,235.0,480.5,440.5,2458.5,0,0.08827296,0.49420562,0.17610005,0.42821056,-0.6714791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.059009726592635,-13.721182059991014]}"
2_304,2247.0,1227.25,322.3333333333333,550.0,607.75,2312.5,0,0.0900563,0.29809082,0.0013879034,0.30447325,-0.6093847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36138265122727,-13.83841220456861]}"
2_305,2210.5,1297.0,320.5,639.5,584.5,2673.0,0,-0.3050943,0.33117914,0.08701637,0.3597877,-0.62365425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.86911044981162,-14.156954804317394]}"
2_306,2095.0,1180.0,390.0,657.0,690.0,2240.0,0,0.016792744,0.3040986,0.024366707,0.25675675,-0.54330176,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.191601062528676,-13.906324840048047]}"
2_307,2576.5,1763.142857142857,388.09090909090907,534.0,650.5,1654.8181818181818,0,0.04736554,-0.033766896,-0.21560667,0.19467124,-0.5135724,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.478612795804864,-14.206272313415555]}"
2_308,1983.0,1098.0,314.5,517.0,508.5,2320.5,0,0.09944183,0.38195214,0.09893148,0.37515914,-0.6382528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.80604871686643,-14.15129541802744]}"
2_309,2569.0,1825.0,418.5,575.0,702.5,1630.0,0,0.06285,-0.056360707,-0.22793078,0.1693959,-0.48340896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.60392777793954,-14.143210580470365]}"
2_310,2048.0,1085.0,329.0,525.0,626.0,2284.222222222222,0,0.118736684,0.33999464,0.04599816,0.31257784,-0.6299677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.32661784973184,-13.989598666885927]}"
2_311,2442.6666666666665,1810.0,394.3333333333333,497.75,581.1428571428571,1444.142857142857,0,0.038198695,-0.110656895,-0.25545657,0.1799787,-0.4893466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.52065395110166,-13.954833865390501]}"
2_312,2181.6666666666665,1381.25,343.25,489.1666666666667,587.0,1575.952380952381,0,0.08680386,0.067265905,-0.15268093,0.1997531,-0.52594733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.50448427598751,-14.029214370915597]}"
2_313,2437.5,1344.5,357.0,602.5,723.0,2286.5,0,0.21894482,0.2672987,-0.017410401,0.27571517,-0.585052,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.07922182048532,-13.770499569089175]}"
